Doctors table columns (Full):
- id: int | Null: NO | Key: PRI | Default: null
- name: varchar(255) | Null: NO | Key:  | Default: null
- email: varchar(100) | Null: YES | Key: UNI | Default: null
- password: varchar(255) | Null: YES | Key:  | Default: null
- specialization: varchar(100) | Null: YES | Key:  | Default: null
- consultation_fee: decimal(10,2) | Null: YES | Key:  | Default: 1500.00
- availability: varchar(100) | Null: YES | Key:  | Default: null
- rating: decimal(3,1) | Null: YES | Key:  | Default: 4.5
- phone: varchar(20) | Null: YES | Key:  | Default: null
- department: varchar(100) | Null: YES | Key:  | Default: null
- experience: varchar(50) | Null: YES | Key:  | Default: null
- license: varchar(100) | Null: YES | Key:  | Default: null
- hospital: varchar(100) | Null: YES | Key:  | Default: null
- address: text | Null: YES | Key:  | Default: null
- bio: text | Null: YES | Key:  | Default: null
- qualifications: json | Null: YES | Key:  | Default: null
- certifications: json | Null: YES | Key:  | Default: null
- languages: json | Null: YES | Key:  | Default: null
- education: json | Null: YES | Key:  | Default: null
- status: enum('active','on-leave','inactive') | Null: YES | Key:  | Default: active
